,inventory_id,site_project,site_project_label,site_name,site_name_label,inventory_pre_post_fire,inventory_pre_post_fire_label,plot_num,plot_blk,inventory_date,inventory_hour,plot_coord_x,plot_coord_y,plot_coord_srs,plot_declination,inventory_plot_diam,plot_slopeper,plot_aspectdegre
0,143_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,143,CAFKU_0143_20240721_1,7/21/24,14:44,297590,4108796,26911,12.28 east,11.3,14,261
1,140_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,140,CAFKU_0140_20240721_1,7/21/24,11:03,297640,4108747,26911,12.28 east,11.3,12,307
2,152_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,152,CAFKU_0152_20240721_1,7/21/24,8:25,297694,4108903,26911,12.28 east,11.3,19,319
3,147_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,147,CAFKU_0147_20240720_1,7/20/24,14:04,297646,4108845,26911,12.28 east,11.3,15,333
4,151_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,151,CAFKU_0151_20240720_1,7/20/24,10:39,297603,4108893,26911,12.28 east,11.3,14,281
5,160_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,160,CAFKU_0160_20240720_1,7/20/24,8:27,297560,4109056,26911,12.28 east,11.3,11,225
6,158_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,158,CAFKU_0158_20240719_1,7/19/24,14:25,297509,4109001,26911,12.28 east,11.3,8,270
7,159_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,159,CAFKU_0159_20240719_1,7/19/24,13:02,297605,4108988,26911,12.28 east,11.3,24,264
8,156_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,156,CAFKU_0156_20240719_1,7/19/24,9:14,297542,4108967,26911,12.28 east,11.3,10,250
9,148_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,148,CAFKU_0148_20240718_1,7/18/24,10:27,297737,4108840,26911,12.28 east,11.3,22,315
10,141_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,141,CAFKU_0141_20240718_1,7/18/24,14:25,297732,4108738,26911,12.28 east,11.3,23,293
11,144_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,144,CAFKU_0144_20240718_1,7/18/24,12:50,297691,4108788,26911,12.28 east,11.3,14,260
12,134_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,134,CAFKU_0134_20240717_1,7/17/24,15:32,297772,4108726,26911,12.28 east,11.3,21,315
13,142_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,142,CAFKU_0142_20240717_1,7/17/24,12:42,297839,4108743,26911,12.28 east,11.3,11,310
14,149_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,149,CAFKU_0149_20240717_1,7/17/24,9:16,297822,4108836,26911,12.28 east,11.3,16,310
15,157_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,157,CAFKU_0157_20240716_1,7/16/24,9:12,297851,4108925,26911,12.28 east,11.3,17,270
16,53_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,53,CATNF_6053_20240817_1,8/17/24,13:19,732491,4370799,26910,12.98 east,11.3,5,135
17,46_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,46,CATNF_6046_20240817_1,8/17/24,11:00,733059,4371049,26910,"12,98 east",11.3,12,168
18,44_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,44,CATNF_6044_20240817_1,8/17/24,8:56,732939,4371205,26910,"12,98 east",11.3,2,286
19,55_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,55,CATNF_6055_20240816_1,8/16/24,15:29,733199,4371175,26910,"12,98 east",11.3,12,126
21,47_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,47,CATNF_6047_20240816_1,8/16/24,13:18,733347,4371034,26910,"12,98 east",11.3,4,107
22,42_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,42,CATNF_6042_20240816_1,8/16/24,10:30,733494,4371166,26910,"12,98 east",11.3,12,193
23,52_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,52,CATNF_6052_20240815_1,8/15/24,11:47,732629,4370927,26910,"12,98 east",11.3,3,49
24,66_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,66,CATNF_6066_20240815_1,8/15/24,12:37,732926,4371048,26910,"12,98 east",11.3,2,229
25,60_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,60,CATNF_6060_20240815_1,8/15/24,10:20,732620,4371068,26910,"12,98 east",11.3,22,132
26,45_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,45,CATNF_6045_20240815_1,8/15/24,7:43,732777,4371061,26910,"12,98 east",11.3,4,287
27,43_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,43,CATNF_6043_20240814_1,8/14/24,15:13,733084,4371330,26910,"12,98 east",11.3,16,238
28,57_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,57,CATNF_6057_20240814_1,8/14/24,13:51,733208,4371428,26910,"12,98 east",11.3,12,23
29,56_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,56,CATNF_6056_20240814_1,8/14/24,11:37,733354,4371317,26910,"12,98 east",11.3,26,109
30,41_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,41,CATNF_6041_20240814_1,8/14/24,8:48,733508,4371447,26910,"12,98 east",11.3,12,61
31,49_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,49,CATNF_6049_20240813_1,8/13/24,14:01,733039,4370762,26910,"12,98 east",11.3,7,168
32,48_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,48,CATNF_6048_20240813_1,8/13/24,11:47,733194,4370893,26910,"12,98 east",11.3,14,126
33,50_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,50,CATNF_6050_20240812_1,8/12/24,15:52,733166,4370640,26910,"12,98 east",11.3,6,57
34,54_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,54,CATNF_6054_20240813_1,8/13/24,15:32,732911,4370916,26910,"12,98 east",11.3,16,212
35,69_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,69,CATNF_6069_20240813_1,8/13/24,10:13,733206,4370758,26910,"12,98 east",11.3,2,105
36,122_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,122,CAFKU_0122_20240804_1,8/4/24,14:54,297878,4108578,26911,"12,28 east",11.3,16,109
37,105_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,105,CAFKU_0105_20240804_1,8/4/24,12:26,297872,4108478,26911,"12,28 east",11.3,9,293
38,100_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,100,CAFKU_0100_20240804_1,8/4/24,10:12,297917,4108425,26911,"12,28 east",11.3,10,71
39,96_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,96,CAFKU_0096_20240804_1,8/4/24,8:59,297964,4108372,26911,"12,28 east",11.3,8,104
40,92_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,92,CAFKU_0092_20240804_1,8/3/24,14:11,298009,4108311,26911,"12,28 east",11.3,16,44
42,89_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,89,CAFKU_0089_20240803_1,8/3/24,11:02,298059,4108266,26911,"12,28 east",11.3,5,85
43,85_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,85,CAFKU_0085_20240803_1,8/3/24,8:38,298004,4108219,26911,"12,28 east",11.3,34,52
44,106_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,106,CAFKU_0106_20240802_1,8/2/24,13:27,297984,4108471,26911,12.28°E,11.3,24,66
45,101_pre_SHA_burn3d,burn3d,Burnpro3d,SHA,Shaver Lake (SHA),pre,Prefire,101,CAFKU_0101_20240802_1,8/2/24,9:20,298018,4108419,26911,12.28°E,11.3,25,89
46,59_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,59,CATNF_6059_20240730_1,7/30/24,14:27,732772,4371203,26910,12.98°E,11.3,16,140
47,58_pre_ind_burn3d,burn3d,Burnpro3d,ind,Independence Lake (IND),pre,Prefire,58,CATNF_6058_20240730_1,7/30/24,8:40,732906,4371380,26910,12.98°E,11.3,3,114
48,3_pre_SDR_burn3d,burn3d,Burnpro3d,SDR,Sedgwick Reserve (SDR),pre,Prefire,3,CASBC_0003_20240910_1,9/10/24,14:39,769905,3843067,26910,11.55,11.3,32,254
49,2_pre_SDR_burn3d,burn3d,Burnpro3d,SDR,Sedgwick Reserve (SDR),pre,Prefire,2,CASBC_0002_20240910_1,9/10/24,11:43,769802,3843076,26910,11.55,11.3,49,267
50,1_pre_SDR_burn3d,burn3d,Burnpro3d,SDR,Sedgwick Reserve (SDR),pre,Prefire,1,CASBC_0001_20240910_1,9/10/24,9:11,769852,3843103,26910,11.55,11.3,47,202
51,20_pre_SDR_burn3d,burn3d,Burnpro3d,SDR,Sedgwick Reserve (SDR),pre,Prefire,20,CASBC_0020_20240914_1,9/14/24,11:45,770050,3842520,26910,11.55,11.3,39,152
53,19_pre_SDR_burn3d,burn3d,Burnpro3d,SDR,Sedgwick Reserve (SDR),pre,Prefire,19,CASBC_0019_20240914_1,9/14/24,10:28,770002,3842568,26910,11.55,11.3,46,233
54,10_pre_SDR_burn3d,burn3d,Burnpro3d,SDR,Sedgwick Reserve (SDR),pre,Prefire,10,CASBC_0010_20240912_1,9/12/24,13:35,769901,3842767,26910,11.55,11.3,40,296
55,18_pre_SDR_burn3d,burn3d,Burnpro3d,SDR,Sedgwick Reserve (SDR),pre,Prefire,18,CASBC_0018_20240914_1,9/14/24,9:26,770052,3842621,26910,11.55,11.3,37,251
56,17_pre_SDR_burn3d,burn3d,Burnpro3d,SDR,Sedgwick Reserve (SDR),pre,Prefire,17,CASBD_0017_20240914_1,9/14/24,8:08,769953,3842616,26910,11.55,11.3,26,204
